,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
0,24,A.J. Brown,TEN,WR,0.0,10/13/2020,Bills,W 42 - 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,82.0,11.7,16.0,1.0,0.0,0.0,0.0,0.0,17.700000000000003
1,140,A.J. Green,CIN,WR,0.0,10/11/2020,@Ravens,L 3 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,369,Adam Shaheen,MIA,TE,0.0,10/11/2020,@49ers,W 43 - 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,6.8
4,395,Adam Thielen,MIN,WR,0.0,10/12/2020,@Seahawks,L 26 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,9.0,80.0,8.9,14.0,2.0,0.0,0.0,0.0,0.0,24.8
7,359,Alex Smith,WSH,QB,0.0,10/11/2020,Rams,L 10 - 30,9.0,17.0,37.0,2.2,0.0,0.0,6.0,31.0,58.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.58
8,287,Alexander Mattison,MIN,RB,0.0,10/12/2020,@Seahawks,L 26 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,112.0,5.6,25.0,0.0,3.0,24.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,15.100000000000001
9,329,Allen Robinson,CHI,WR,0.0,10/09/2020,Buccaneers,W 20 - 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,14.0
11,246,Alvin Kamara,NO,RB,0.0,10/13/2020,Chargers,W 30 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,45.0,4.1,10.0,0.0,8.0,74.0,9.3,28.0,0.0,0.0,0.0,0.0,0.0,15.9
12,60,Amari Cooper,DAL,WR,0.0,10/11/2020,Giants,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,2.0,23.0,11.5,15.0,0.0,0.0,0.0,0.0,0.0,3.1000000000000005
14,331,Andre Roberts,BUF,WR,0.0,10/13/2020,@Titans,L 16 - 42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,16.0,0.0,1.0,1.0,0.0,0.0,0.10000000000000009
15,99,Andy Dalton,DAL,QB,0.0,10/11/2020,Giants,W 37 - 34,9.0,11.0,111.0,10.1,0.0,0.0,1.0,5.0,108.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.4400000000000004
16,208,Andy Isabella,ARI,WR,0.0,10/11/2020,@Jets,W 30 - 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,4.0
17,128,Anthony Firkser,TEN,TE,0.0,10/13/2020,Bills,W 42 - 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,6.3,12.0,0.0,0.0,0.0,0.0,0.0,3.4000000000000004
18,280,Anthony McFarland,PIT,RB,0.0,10/11/2020,Eagles,W 38 - 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
19,270,Anthony Miller,CHI,WR,0.0,10/09/2020,Buccaneers,W 20 - 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001
22,152,Antonio Gibson,WSH,RB,0.0,10/11/2020,Rams,L 10 - 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,2.5,6.0,0.0,5.0,24.0,4.8,18.0,0.0,0.0,0.0,0.0,0.0,7.6000000000000005
24,85,Ashton Dulin,IND,WR,0.0,10/11/2020,@Browns,L 23 - 32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,4.2
25,401,Auden Tate,CIN,WR,0.0,10/11/2020,@Ravens,L 3 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002
27,174,Austin Hooper,CLE,TE,0.0,10/11/2020,Colts,W 32 - 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,11.4,18.0,0.0,0.0,0.0,0.0,0.0,8.2
28,286,Baker Mayfield,CLE,QB,0.0,10/11/2020,Colts,W 32 - 23,21.0,37.0,247.0,6.7,2.0,2.0,1.0,4.0,72.7,2.0,17.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.580000000000002
30,325,Ben Roethlisberger,PIT,QB,0.0,10/11/2020,Eagles,W 38 - 29,27.0,34.0,239.0,7.0,3.0,0.0,1.0,8.0,125.4,2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.360000000000003
31,120,Bennie Fowler,NO,WR,0.0,10/13/2020,Chargers,W 30 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.5,7.0,0.0,0.0,0.0,0.0,0.0,2.1
32,349,Benny Snell,PIT,RB,0.0,10/11/2020,Eagles,W 38 - 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,2.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9000000000000001
