,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
0,28,A.J. Brown,TEN,WR,0.0,11/13/2020,Colts,L 17 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,2.6
1,144,A.J. Green,CIN,WR,0.0,11/15/2020,@Steelers,L 10 - 36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,219,Aaron Jones,GB,RB,0.0,11/15/2020,Jaguars,W 24 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,3.5,20.0,0.0,5.0,49.0,9.8,14.0,0.0,1.0,0.0,0.0,0.0,12.0
4,334,Aaron Rodgers,GB,QB,0.0,11/15/2020,Jaguars,W 24 - 20,24.0,34.0,325.0,9.6,2.0,1.0,1.0,10.0,108.1,3.0,4.0,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4
6,383,Adam Shaheen,MIA,TE,0.0,11/15/2020,Chargers,W 29 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
7,404,Adam Thielen,MIN,WR,0.0,11/17/2020,@Bears,W 19 - 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,10.8,17.0,2.0,0.0,0.0,0.0,0.0,18.3
9,315,Adrian Peterson,DET,RB,0.0,11/15/2020,Football Team,W 30 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,5.3,13.0,0.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,3.5
10,71,Alex Collins,0,RB,0.0,11/15/2020,@Rams,L 16 - 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,43.0,3.9,13.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.200000000000001
11,112,Alex Erickson,CIN,WR,0.0,11/15/2020,@Steelers,L 10 - 36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-2.0
12,370,Alex Smith,WSH,QB,0.0,11/15/2020,@Lions,L 27 - 30,38.0,55.0,390.0,7.1,0.0,0.0,2.0,15.0,89.2,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
13,292,Alexander Mattison,MIN,RB,0.0,11/17/2020,@Bears,W 19 - 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
