,Unnamed: 0,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total,Paddy
0,0,Joe Mixon,RB,CIN,0,0,0,151,2,6,30,1,0,0,0,0.0,42.1,39.1
1,1,George Kittle,TE,SF,0,0,0,8,0,15,183,1,0,0,0,0.0,40.1,32.6
2,2,Odell Beckham Jr.,WR,CLE,0,0,0,73,1,5,81,2,0,0,0,0.0,38.4,35.9
3,3,Dak Prescott,QB,DAL,502,4,1,12,0,0,0,0,0,0,2,0.0,37.28,40.28
4,4,Robert Tonyan,TE,GB,0,0,0,0,0,6,98,3,0,0,0,0.0,33.8,30.8
5,5,Amari Cooper,WR,DAL,0,0,0,0,0,12,134,1,0,0,1,0.0,33.4,27.4
6,6,Tom Brady,QB,TB,369,5,1,-3,0,0,0,0,0,0,0,0.0,32.46,33.46
7,7,Aaron Rodgers,QB,GB,327,4,0,5,0,0,0,0,0,0,0,0.0,29.58,29.58
8,8,D.J. Chark,WR,JAX,0,0,0,0,0,8,95,2,0,0,0,0.0,29.5,25.5
9,9,Dalvin Cook,RB,MIN,0,0,0,130,2,2,16,0,0,0,0,0.0,28.6,27.6
10,10,Teddy Bridgewater,QB,CAR,276,2,1,32,1,0,0,0,0,0,0,0.0,26.24,27.24
11,11,Adam Thielen,WR,MIN,0,0,0,8,0,8,114,1,0,0,0,0.0,26.2,22.2
12,12,Melvin Gordon,RB,DEN,0,0,0,107,2,2,11,0,0,0,0,0.0,25.8,24.800000000000004
13,13,Josh Allen,QB,BUF,288,2,0,-1,1,0,0,0,0,0,0,0.0,25.42,25.419999999999998
14,14,Mike Evans,WR,TB,0,0,0,0,0,7,122,1,0,0,0,0.0,25.2,21.700000000000003
15,15,CeeDee Lamb,WR,DAL,0,0,0,3,0,5,79,2,0,0,0,0.0,25.2,22.7
16,16,Lamar Jackson,QB,BAL,193,2,1,53,1,0,0,0,0,0,0,0.0,25.02,26.02
17,17,Chris Carson,RB,SEA,0,0,0,80,2,3,20,0,0,0,0,0.0,25.0,23.5
18,18,Sam Darnold,QB,NYJ,230,0,0,84,1,0,0,0,0,0,0,0.0,23.6,23.6
19,19,Tim Patrick,WR,DEN,0,0,0,0,0,6,113,1,0,0,0,0.0,23.3,20.3
20,20,Kyler Murray,QB,ARI,133,3,0,78,0,0,0,0,0,0,0,0.0,23.12,25.12
21,21,Allen Robinson,WR,CHI,0,0,0,0,0,7,101,1,0,0,0,0.0,23.1,19.6
22,22,Justin Herbert,QB,LAC,290,3,1,14,0,0,0,0,0,0,0,0.0,23.0,24.0
23,23,Will Fuller,WR,HOU,0,0,0,0,0,6,108,1,0,0,0,0.0,22.8,19.8
24,24,Antonio Gibson,RB,WAS,0,0,0,46,1,4,82,0,0,0,0,0.0,22.8,20.800000000000004
25,25,Jerick McKinnon,RB,SF,0,0,0,54,1,7,43,0,0,0,0,0.0,22.7,19.2
26,26,Matthew Stafford,QB,DET,206,3,1,21,0,0,0,0,0,0,1,0.0,22.34,23.340000000000003
27,27,Mike Davis,RB,CAR,0,0,0,84,1,5,27,0,0,0,0,0.0,22.1,19.599999999999998
28,28,Aaron Jones,RB,GB,0,0,0,71,0,5,40,1,0,0,0,0.0,22.1,19.6
29,29,Terry McLaurin,WR,WAS,0,0,0,0,0,10,118,0,0,0,0,0.0,21.8,16.8
30,30,Carson Wentz,QB,PHI,193,1,1,37,1,0,0,0,0,0,1,0.0,21.42,22.419999999999998
31,31,Tre'Quan Smith,WR,NO,0,0,0,0,0,4,54,2,0,0,0,0.0,21.4,19.4
32,32,Ryan Fitzpatrick,QB,MIA,315,0,2,47,1,0,0,0,0,0,1,0.0,21.3,23.3
33,33,Latavius Murray,RB,NO,0,0,0,64,2,1,19,0,0,0,0,0.0,21.3,20.799999999999997
34,34,DeVante Parker,WR,MIA,0,0,0,0,0,10,110,0,0,0,0,0.0,21.0,16.0
35,35,Gardner Minshew,QB,JAX,351,2,1,9,0,0,0,0,0,0,0,0.0,20.94,21.939999999999998
36,36,Alvin Kamara,RB,NO,0,0,0,83,1,3,36,0,0,0,0,0.0,20.9,19.400000000000002
37,37,Deshaun Watson,QB,HOU,300,2,0,9,0,0,0,0,0,0,0,0.0,20.9,20.9
38,38,Russell Wilson,QB,SEA,360,2,1,5,0,0,0,0,0,0,0,0.0,20.9,21.9
39,39,Mark Andrews,TE,BAL,0,0,0,0,0,3,57,2,0,0,0,0.0,20.7,19.2
40,40,Ezekiel Elliott,RB,DAL,0,0,0,54,0,8,71,0,0,0,1,0.0,20.5,18.5
41,41,Derek Carr,QB,LV,311,2,0,20,0,0,0,0,0,0,0,0.0,20.44,22.439999999999998
42,42,Patrick Mahomes,QB,KC,236,2,0,28,0,0,0,0,0,0,0,0.0,20.24,20.24
43,43,Todd Gurley,RB,ATL,0,0,0,57,2,1,6,0,0,0,0,0.0,19.3,18.8
44,44,Scott Miller,WR,TB,0,0,0,0,0,5,83,1,0,0,0,0.0,19.3,16.8
45,45,Kareem Hunt,RB,CLE,0,0,0,71,2,0,0,0,0,0,0,0.0,19.1,19.1
46,46,Dwayne Haskins,QB,WAS,314,0,0,3,1,0,0,0,0,0,0,0.0,18.86,18.86
47,47,Ronald Jones,RB,TB,0,0,0,111,0,6,17,0,0,0,0,0.0,18.8,15.8
48,48,Devin Singletary,RB,BUF,0,0,0,56,1,5,21,0,0,0,0,0.0,18.7,16.200000000000003
49,49,David Moore,WR,SEA,0,0,0,0,0,3,95,1,0,0,0,0.0,18.5,17.0
50,50,Jamaal Williams,RB,GB,0,0,0,10,0,8,95,0,0,0,0,0.0,18.5,14.5
51,51,Robby Anderson,WR,CAR,0,0,0,0,0,8,99,0,0,0,0,0.0,17.9,13.9
52,52,Cooper Kupp,WR,LA,0,0,0,-2,0,5,69,1,0,0,0,0.0,17.7,15.2
53,53,Stefon Diggs,WR,BUF,0,0,0,0,0,6,115,0,0,0,0,0.0,17.5,14.5
54,54,Jamison Crowder,WR,NYJ,0,0,0,0,0,7,104,0,0,0,0,0.0,17.4,13.9
55,55,Dalton Schultz,TE,DAL,0,0,0,0,0,4,72,1,0,0,0,0.0,17.2,15.2
56,56,Olamide Zaccheaus,WR,ATL,0,0,0,0,0,8,86,0,0,0,0,0.0,16.6,12.6
57,57,Tyler Boyd,WR,CIN,0,0,0,4,0,7,90,0,0,0,0,0.0,16.4,12.9
58,58,Tyreek Hill,WR,KC,0,0,0,0,0,4,64,1,0,0,0,0.0,16.4,14.4
59,59,Kenny Golladay,WR,DET,0,0,0,0,0,4,62,1,0,0,0,0.0,16.2,14.2
60,60,Darren Waller,TE,LV,0,0,0,0,0,9,88,0,0,0,0,0.0,15.8,13.3
61,61,Drew Brees,QB,NO,246,2,1,-3,0,0,0,0,0,0,0,0.0,15.54,16.54
62,62,Emmanuel Sanders,WR,NO,0,0,0,0,0,6,93,0,0,0,0,0.0,15.3,12.3
63,63,Jarvis Landry,WR,CLE,37,1,0,0,0,5,48,0,0,0,0,0.0,15.28,12.780000000000001
64,64,Baker Mayfield,QB,CLE,165,2,0,6,0,0,0,0,0,0,0,0.0,15.2,15.200000000000001
65,65,D'Andre Swift,RB,DET,0,0,0,22,0,4,30,1,0,0,0,0.0,15.2,13.2
66,66,Reggie Bonnafon,RB,0,0,0,0,53,0,2,18,1,0,0,0,0.0,15.1,14.100000000000001
67,67,Joe Burrow,QB,CIN,300,1,1,11,0,0,0,0,0,0,0,0.0,15.1,16.1
68,68,Jeff Smith,WR,NYJ,0,0,0,0,0,7,81,0,0,0,0,0.0,15.1,11.6
69,69,Chase Edmonds,RB,ARI,0,0,0,16,0,5,24,1,0,0,0,0.0,15.0,12.5
70,70,Kirk Cousins,QB,MIN,260,1,0,5,0,0,0,0,0,0,0,0.0,14.9,14.9
71,71,James Robinson,RB,JAX,0,0,0,75,0,4,32,0,0,0,0,0.0,14.7,12.7
72,72,DK Metcalf,WR,SEA,0,0,0,0,0,4,106,0,0,0,0,0.0,14.6,12.600000000000001
73,73,Nelson Agholor,WR,LV,0,0,0,0,0,4,44,1,0,0,0,0.0,14.4,12.4
74,74,Austin Hooper,TE,CLE,0,0,0,0,0,5,34,1,0,0,0,0.0,14.4,11.9
75,75,Justin Jefferson,WR,MIN,0,0,0,0,0,4,103,0,0,0,0,0.0,14.3,12.3
76,76,Keenan Allen,WR,LAC,0,0,0,0,0,8,62,0,0,0,0,0.0,14.2,10.2
77,77,Jalen Guyton,WR,LAC,0,0,0,0,0,1,72,1,0,0,0,0.0,14.2,13.7
78,78,Jerry Jeudy,WR,DEN,0,0,0,0,0,2,61,1,0,0,0,0.0,14.1,13.100000000000001
79,79,Laviska Shenault Jr.,WR,JAX,0,0,0,5,0,5,86,0,0,0,0,0.0,14.1,11.6
80,80,O.J. Howard,TE,TB,0,0,0,0,0,3,50,1,0,0,0,0.0,14.0,12.5
81,81,Travis Fulgham,WR,PHI,0,0,0,0,0,2,57,1,0,0,0,0.0,13.7,12.7
82,82,Brandon Aiyuk,WR,SF,0,0,0,38,1,2,18,0,0,0,0,0.0,13.6,12.600000000000001
83,83,Damiere Byrd,WR,NE,0,0,0,0,0,5,80,0,0,0,0,0.0,13.0,10.5
84,84,Tee Higgins,WR,CIN,0,0,0,13,0,4,77,0,0,0,0,0.0,13.0,11.0
85,85,James White,RB,NE,0,0,0,21,0,7,38,0,0,0,0,0.0,12.9,9.4
86,86,Mecole Hardman,WR,KC,0,0,0,0,0,4,27,1,0,0,0,0.0,12.7,10.7
87,87,Marquise Brown,WR,BAL,0,0,0,0,0,4,86,0,0,0,0,0.0,12.6,10.6
88,88,Matt Ryan,QB,ATL,285,0,0,10,0,0,0,0,0,0,0,0.0,12.4,12.4
89,89,Tyron Johnson,WR,LAC,0,0,0,0,0,1,53,1,0,0,0,0.0,12.3,11.8
90,90,Cole Beasley,WR,BUF,0,0,0,0,0,3,32,1,0,0,0,0.0,12.2,10.7
91,91,Clyde Edwards-Helaire,RB,KC,0,0,0,64,0,3,27,0,0,0,0,0.0,12.1,10.600000000000001
