,Unnamed: 0,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total,Paddy
0,0,Alvin Kamara,RB,NO,0,0,0,58,0,13,139,2,0,0,0,0.0,44.7,38.2
1,1,Patrick Mahomes,QB,KC,385,4,0,26,1,0,0,0,0,0,0,0.0,40.0,40.0
2,2,Tyler Lockett,WR,SEA,0,0,0,0,0,9,100,3,0,0,0,0.0,37.0,32.5
3,3,Russell Wilson,QB,SEA,315,5,0,22,0,0,0,0,0,0,1,0.0,36.8,36.800000000000004
4,4,Rex Burkhead,RB,NE,0,0,0,49,2,7,49,1,0,0,0,0.0,34.8,31.299999999999997
5,5,Austin Ekeler,RB,LAC,0,0,0,59,1,11,84,0,0,0,0,0.0,31.3,25.799999999999997
6,6,Josh Allen,QB,BUF,311,4,1,8,1,0,0,0,0,0,0,0.0,31.24,34.239999999999995
7,7,James Robinson,RB,JAX,0,0,0,46,2,6,83,0,0,0,0,0.0,30.9,27.900000000000002
8,8,Justin Jefferson,WR,MIN,0,0,0,0,0,7,175,1,0,0,0,0.0,30.5,27.0
9,9,Keenan Allen,WR,LAC,0,0,0,0,0,13,132,1,0,0,0,0.0,30.2,25.700000000000003
10,10,Allen Robinson,WR,CHI,0,0,0,0,0,10,123,1,0,0,0,0.0,28.3,23.3
11,11,Ced Wilson,WR,DAL,0,0,0,0,0,5,107,2,0,0,0,0.0,27.7,25.200000000000003
12,12,Dak Prescott,QB,DAL,472,3,2,26,0,0,0,0,0,0,0,0.0,27.48,31.48
13,13,Jared Goff,QB,LA,321,2,1,4,1,0,0,0,0,0,1,0.0,27.24,28.24
14,14,Derrick Henry,RB,TEN,0,0,0,119,2,2,11,0,0,0,0,0.0,27.0,26.0
15,15,Allen Lazard,WR,GB,0,0,0,-2,0,6,146,1,0,0,0,0.0,26.4,23.400000000000002
16,16,Dalvin Cook,RB,MIN,0,0,0,181,1,2,18,0,0,0,0,0.0,25.9,26.900000000000002
17,17,Michael Gallup,WR,DAL,0,0,0,0,0,6,138,1,0,0,0,0.0,25.8,22.8
18,18,Cooper Kupp,WR,LA,0,0,0,0,0,9,107,1,0,0,0,0.0,25.7,21.200000000000003
19,19,Ryan Fitzpatrick,QB,MIA,160,2,0,38,1,1,0,0,0,0,0,0.0,25.2,24.7
20,20,James Conner,RB,PIT,0,0,0,109,1,4,40,0,0,0,0,0.0,24.9,22.9
21,21,Aaron Rodgers,QB,GB,283,3,0,12,0,0,0,0,0,0,0,0.0,24.52,24.52
22,22,Nick Chubb,RB,CLE,0,0,0,108,2,1,2,0,0,0,0,0.0,24.0,23.5
23,23,Jimmy Graham,TE,CHI,0,0,0,0,0,6,60,2,0,0,0,0.0,24.0,21.0
24,24,Tom Brady,QB,TB,297,3,0,0,0,0,0,0,0,0,0,0.0,23.88,23.880000000000003
25,25,DeAndre Hopkins,WR,ARI,0,0,0,0,0,10,137,0,0,0,0,0.0,23.7,18.700000000000003
26,26,Drew Brees,QB,NO,288,3,0,0,0,0,0,0,0,0,0,0.0,23.52,23.52
27,27,Mike Davis,RB,CAR,0,0,0,46,0,8,45,1,0,0,0,0.0,23.1,19.1
28,28,Tyler Boyd,WR,CIN,0,0,0,0,0,10,125,0,0,0,0,0.0,22.5,17.5
29,29,Jeff Wilson,RB,SF,0,0,0,15,1,3,54,1,0,0,0,0.0,21.9,20.4
30,30,Kyler Murray,QB,ARI,270,2,3,29,1,0,0,0,0,0,0,0.0,21.7,24.700000000000003
31,31,Carson Wentz,QB,PHI,225,1,2,65,1,0,0,0,0,0,0,0.0,21.5,23.5
32,32,Robert Woods,WR,LA,0,0,0,30,0,5,74,1,0,0,0,0.0,21.4,18.9
33,33,Tyreek Hill,WR,KC,0,0,0,25,0,5,77,1,0,0,0,0.0,21.2,18.7
34,34,Brandon Aiyuk,WR,SF,0,0,0,31,1,5,70,0,0,0,0,0.0,21.1,18.6
