,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
21,Kyler Murray,ARI,NE,27.3,33.14,24.7,23.12,27.3,28.92,38.1,,37.92,30.9,20.26,29.2,29.7,9100,Q,29.07
16,Patrick Mahomes,KC,TB,20.44,25.48,40.0,20.24,28.7,20.6,12.0,36.64,31.48,,22.52,25.8,30.2,9000,,25.53
217,Josh Allen,BUF,LAC,28.18,34.5,32.24,25.42,18.32,16.08,16.38,13.46,36.0,21.16,,24.2,23.5,8600,,25.02
3,Justin Herbert,LAC,BUF,,23.24,15.7,24.0,27.36,,38.48,23.22,23.44,21.48,27.74,25.0,24.2,8400,,24.12
180,Teddy Bridgewater,CAR,MIN,17.36,10.68,14.6,27.24,20.82,11.44,19.16,13.04,28.3,20.04,,18.3,20.5,7000,Q,21.52
15,Derek Carr,LV,ATL,13.56,21.66,15.44,20.44,24.98,,20.26,12.54,14.0,7.16,22.6,17.3,14.6,7100,,20.73
330,Gardner Minshew,JAX,CLE,20.82,25.46,10.2,21.94,19.84,18.12,,,,,,19.4,20.0,7000,Q,20.44
130,Ryan Fitzpatrick,MIA,NYJ,6.44,22.32,24.2,21.3,27.6,18.04,,,,,4.28,17.7,16.6,7400,,20.13
24,Cam Newton,NE,ARI,25.7,35.58,12.18,,,17.88,2.82,16.36,24.56,16.82,19.2,19.0,20.2,7700,,19.71
110,Matt Ryan,ATL,LV,24.9,28.52,12.42,12.4,7.94,31.64,15.52,18.94,23.36,,7.28,18.3,16.5,7600,,18.32
11,Kirk Cousins,MIN,CAR,20.76,1.52,21.44,14.9,15.16,22.72,,10.4,20.8,18.58,22.96,16.9,20.8,7100,,17.62
306,Daniel Jones,NYG,CIN,19.36,8.74,9.06,11.1,6.18,14.88,21.68,18.24,12.88,22.16,,14.4,17.8,7200,,17.09
17,Philip Rivers,IND,TEN,16.82,11.86,12.68,11.2,7.62,25.74,,22.28,8.08,16.32,22.42,15.5,15.6,6800,Q,16.81
59,Joe Burrow,CIN,NYG,17.32,24.54,20.38,16.1,5.32,17.72,34.64,18.86,,12.52,11.32,17.9,14.2,6000,IR,16.73
52,Tom Brady,TB,KC,22.46,9.68,23.88,33.46,14.12,14.64,36.86,19.06,5.36,31.84,14.64,20.5,17.3,7900,,16.68
238,Drew Brees,NO,DEN,14.4,15.48,23.52,16.54,22.1,,23.68,19.6,22.68,6.94,,18.3,16.4,7500,IR,16.13
10,Jared Goff,LAR,SF,11.5,23.98,26.24,11.7,25.36,15.92,16.9,12.2,,10.48,25.04,17.9,15.9,7000,,15.95
12,Ryan Tannehill,TEN,IND,19.36,26.76,12.74,,30.0,27.64,17.3,18.32,14.62,10.78,20.86,19.8,15.4,7500,,15.0
61,Drew Lock,DEN,NO,13.14,-1.2,,,,5.46,14.96,20.82,30.22,10.98,12.1,13.3,17.8,6700,,14.36
94,Baker Mayfield,CLE,JAX,10.86,16.26,14.34,15.2,17.58,7.26,30.78,7.78,,5.38,7.06,13.2,6.7,6900,,13.33
91,Tua Tagovailoa,MIA,NYJ,,,,,,0.36,,5.72,21.42,14.66,7.32,9.9,14.5,6800,,13.07
211,Jake Luton,JAX,CLE,,,,,,,,,22.46,9.76,2.04,11.4,11.4,6400,,11.9
42,Joe Flacco,NYJ,MIA,,,,0.64,13.8,6.44,,,21.48,,15.4,11.6,14.4,6500,,11.4
255,Sam Darnold,NYJ,MIA,12.2,11.86,9.72,23.6,,,2.8,7.42,,,,11.3,11.3,6500,Q,10.35
259,Jeff Driskel,DEN,NO,,17.74,11.44,0.9,,,,,,,,10.0,10.0,6100,,9.8
338,Nick Mullens,SF,LAR,,1.64,17.72,8.0,,,,17.52,12.64,12.18,,11.6,14.1,6600,,8.97
383,Tyrod Taylor,LAC,BUF,9.02,,,,,,,,,,,9.0,,6200,,8.77
275,Jimmy Garoppolo,SF,LAR,19.26,13.24,,,1.08,23.52,9.48,2.76,,,,11.6,11.9,6600,IR,8.49
355,Brett Rypien,DEN,NO,,,1.12,14.18,,,,,,,,7.6,,6100,,7.45
9,Taysom Hill,NO,DEN,2.82,0.8,-1.4,0.6,7.3,,0.6,3.5,7.32,2.5,24.42,4.8,11.4,7300,,6.17
69,P.J. Walker,CAR,MIN,,,,,,,,0.12,,0.48,12.12,4.2,4.2,,,4.77
375,Jarrett Stidham,NE,ARI,,,,4.7,,,1.86,,,,,3.3,,6100,,3.36
